,CAMIS,new_grade,INSPECTION DATE,VIOLATION CODE,SCORE,GRADE,CD,HealthArea,SanitDistr,AssessTot,YearAlter1,YearAlter2,YearBuilt,NumFloors,yelp_rating,yelp_categories,yelp_review_count,stats.checkinsCount,stats.tipCount,stats.usersCount,311_complaint_count,goog_lat,goog_lng,is_coffee,is_pizza,is_sandwiches,is_chinese,is_hotdogs,is_italian,is_breakfast_brnch,is_newamerican,is_bakeries,is_brgers,is_tradamerican,is_bars,is_mexican,is_donts,is_cafes,is_salad,is_japanese,is_desserts,is_seafood,is_icecream,failed,yrs_since_reno,bldg_age
12205,41293491,A,02/19/2015,06E,7.0,A,CD_107,HealthArea_3900,SanitDistr_7,-0.0726316157018,0.0,0.0,1971.0,2.88046929913,-0.0236237799941,[u'icecream'],-0.130116623549,-0.103568969234,-0.121044961513,-0.0832423373959,0.0,40.7776562,-73.9827415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.14790610032,-0.252892747436
12206,41293480,A,05/04/2016,06C,10.0,A,CD_404,HealthArea_1500,SanitDistr_4,-0.152752901723,0.0,0.0,1987.0,-0.389056417853,-0.0236237799941,[u'pizza'],-0.378147240758,-0.13820175535,-0.248556176093,-0.166455504154,0.0,40.7434465,-73.8547183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209557138057,-0.315361889262
12207,41293456,A,05/27/2016,02G,12.0,A,CD_102,HealthArea_5700,SanitDistr_2,-0.149794854324,1988.0,2003.0,1910.0,-0.044895816065,0.636970690907,"[u'seafood', u'raw_food']",2.65213986514,-0.0164545093775,0.894322117548,0.143591880777,-0.0491692257674,40.7288849,-74.0018619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.271208175795,-0.0147291442229
12208,41293446,A,03/01/2016,10F,7.0,A,CD_105,HealthArea_5700,SanitDistr_5,-0.153119029395,1988.0,2004.0,1900.0,0.041144334382,-0.0236237799941,"[u'italian', u'lounges']",0.527703709048,-0.121954479289,-0.073818585743,-0.102844434837,0.0,40.738266,-73.988846,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275061365653,0.0243140694186
12210,41293203,A,11/18/2014,10F,3.0,A,CD_107,HealthArea_3110,SanitDistr_7,-0.150524077313,1971.0,0.0,1925.0,-0.216976116959,-0.0236237799941,[u'coffee'],-0.374552594132,-0.0727255630529,-0.0549280354349,-0.044281863085,0.0,40.7988754,-73.9683503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14790610032,-0.0732939646852
12211,41293148,A,07/23/2014,10B,7.0,A,CD_310,HealthArea_7810,SanitDistr_10,-0.153069927237,0.0,0.0,1924.0,-0.303016267406,-0.0236237799941,"[u'donuts', u'coffee']",-0.432066940151,-0.12559525609,-0.234388263362,-0.157368208538,0.0,40.6220498,-74.0289542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331938230344,-0.069389643321
12214,41292990,A,04/22/2015,10F,7.0,A,CD_105,HealthArea_4800,SanitDistr_5,0.346678676718,1989.0,0.0,1939.0,1.24570644064,-0.684218250895,"[u'sandwiches', u'newamerican', u'breakfast_brunch']",-0.126521976923,-0.110751454078,-0.130490236667,-0.136268970439,-0.511584081204,40.7580616,-73.9788647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217263517774,-0.127954463783
12216,41292588,A,03/02/2017,06D,7.0,A,CD_104,HealthArea_4700,SanitDistr_4,-0.153742492901,0.0,0.0,1910.0,-0.216976116959,-0.684218250895,[u'mexican'],1.01657565021,-0.107581253871,0.0206341657976,-0.0780545709327,-0.0491692257674,40.765661,-73.987768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0871384810548,-0.0147291442229
12217,41292582,B,10/19/2016,08A,22.0,B,CD_205,HealthArea_1600,SanitDistr_5,-0.152651299225,0.0,0.0,1923.0,-0.216976116959,-0.684218250895,[u'mexican'],-0.439256233403,-0.141834276421,-0.262724088824,-0.172861873478,0.0,40.8555109,-73.9016061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.037047012893,-0.0654853219569
12218,41292268,C,09/29/2014,04L,13.0,A,CD_312,HealthArea_6700,SanitDistr_7,-0.154112980479,0.0,0.0,1934.0,-0.389056417853,0.636970690907,"[u'taiwanese', u'coffee', u'juicebars']",-0.291875721729,-0.138110942324,-0.239110900939,-0.165898428561,0.0,40.6416128,-74.0028321,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.00533807555153,-0.108432856963
12219,41292258,A,12/29/2015,06E,12.0,A,CD_106,HealthArea_5000,SanitDistr_6,-0.149801927915,0.0,0.0,1900.0,-0.303016267406,-1.3448127218,"[u'pizza', u'italian']",-0.166063089811,-0.141165562315,-0.258001451247,-0.170772840003,0.0,40.7545327,-73.9684277,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125670379641,0.0243140694186
12221,41291910,A,07/20/2016,10F,9.0,A,CD_105,HealthArea_4800,SanitDistr_5,-0.150496426,1987.0,0.0,1939.0,-0.216976116959,-0.0236237799941,"[u'burgers', u'hotdogs']",0.531298355675,-0.095040800448,0.190649118571,-0.0261769063007,-0.511584081204,40.7626955,-73.9766166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209557138057,-0.127954463783
12222,41291758,A,09/25/2013,08B,4.0,A,CD_204,HealthArea_3320,SanitDistr_4,-0.152265466956,0.0,0.0,1931.0,-0.561136718747,1.95815963271,"[u'sandwiches', u'hotdogs']",-0.468013406413,0.655718747547,0.228430219187,0.416350018177,-0.280376653486,40.8352677,-73.9207886,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622149402426,-0.0967198928701
12223,41291746,A,09/07/2016,02B,10.0,A,CD_207,HealthArea_410,SanitDistr_7,-0.149708685117,0.0,0.0,1929.0,-0.561136718747,-2.0054071927,"[u'spanish', u'dominican', u'cuban']",-0.317038248112,-0.139184187185,-0.234388263362,-0.165062815171,-0.511584081204,40.8824542,-73.8811546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139278737415,-0.0889112501418
12225,41291373,A,06/21/2014,08B,4.0,A,CD_307,HealthArea_4400,SanitDistr_7,-0.154265467108,0.0,0.0,1930.0,-0.4750965683,0.636970690907,[u'bars'],-0.180441676316,-0.111709118724,-0.0124242972416,-0.129653697768,0.0,40.661888,-73.993146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0100746838829,-0.0928155715059
